feature,VIF
ichimoku_span_a,inf
ichimoku_kijun,inf
ichimoku_tenkan,inf
bb_width,inf
bb_upper,inf
bb_lower,inf
sma_20,inf
ema_12,777255.9599959275
wma_14,389832.872436518
mid_price,8888.124459935436
ichimoku_span_b,1482.4719158677876
macd,589.2872917990006
macd_signal,413.58155591522
stoch_k,175.80872979008092
fib_pct,73.55590941300599
rsi,13.340211599525574
stoch_d,12.482457444554939
cci,11.080631308216734
obv,5.405753091346072
atr,3.7281900535871118
wrobv,2.1786270863480683
Volume,1.8278222972235507
adx,1.4801839623834474
