feature_set,model,MAE,RMSE,R2
all_features,Decision Tree,11.981857733009189,17.190001797691743,0.9987948538513873
all_features,Random Forest,14.606381233302361,20.054618357705465,0.9983597249596339
all_features,XGBoost,149.02609600360577,188.51295077317124,0.8550660075069361
all_features,XGBoost_ES,11.47622911125393,17.211605040559053,0.9987918228540892
all_features,MLP,31.704702843707018,40.813519728655805,0.9932064625748139
all_features,LSTM,87.93882464524116,159.44974268365925,0.6956621114559323
selected_features,Decision Tree,12.16307000060968,17.367391065072514,0.998769852920282
selected_features,Random Forest,14.620863776249243,20.10114435442225,0.9983521053725328
selected_features,XGBoost,151.3563743239183,190.94002570453895,0.8513099777750762
selected_features,XGBoost_ES,11.665336870010536,18.287403357851854,0.9986360703794394
selected_features,MLP,27.805395597886882,36.07103987416156,0.994693536295001
selected_features,LSTM,73.70369484419601,128.74344838588678,0.8015922405653295
super_selected_features,Decision Tree,12.27260414741989,17.517047865444507,0.998748560939222
super_selected_features,Random Forest,14.726055477801161,20.146460850842246,0.9983446668917922
super_selected_features,XGBoost,170.93189634433614,211.25437265802486,0.8179883079965141
super_selected_features,XGBoost_ES,11.646601417592223,17.44280027742123,0.998759147131074
super_selected_features,MLP,25.405091322871563,34.446111430859695,0.9951608589909804
super_selected_features,LSTM,58.76047701500803,96.5696930663884,0.8883676467587995
ultimate_features,Decision Tree,12.343024310017983,17.63210783616745,0.9987320668997441
ultimate_features,Random Forest,14.72448593865212,20.166925681955565,0.9983413021997531
ultimate_features,XGBoost,161.28702398374438,200.72913790585275,0.8356730813355269
ultimate_features,XGBoost_ES,11.981321265645402,17.766672062111795,0.9987126398977912
ultimate_features,MLP,29.01986654317606,39.65591854541383,0.9935863700200316
ultimate_features,LSTM,46.132216309058336,65.6592347829323,0.9483940221373304
