feature,importance
mid_price,0.8772730670766651
ichimoku_kijun,0.08894657517041815
ichimoku_span_b,0.023213405240480198
wma_14,0.009748846931434636
sma_20,0.00044255721616059273
ichimoku_span_a,0.00016305697371596367
obv,4.8309390647981975e-05
ema_12,4.627294876153076e-05
macd_signal,3.250761230518732e-05
rsi,1.5640382071887816e-05
macd,1.1396457986077543e-05
atr,9.957142012939026e-06
fib_pct,8.875060332740237e-06
stoch_k,8.281932112389317e-06
stoch_d,7.212859426934495e-06
Volume,7.131547516767333e-06
bb_lower,6.83285326631363e-06
bb_width,5.225920857716441e-06
ichimoku_tenkan,4.404140657204272e-06
adx,4.4314316977394675e-07
